Label,X,Y,Distance_From_Previous,Distance_To_Next
Stem Lower Right    & 2,0.5190,-0.4896,0.0,0.0234
Stem Lower Left,0.481,-0.4896,0.0234,0.2143
Stem Upper Left,0.4883,-0.2753,0.2143,0.2591
Shoulder Left,0.2306,-0.302,0.2591,0.1045
Shoulder Left Sinus,0.2587,-0.2013,0.1045,0.3278
Lower Left Lateral Apex,0.0,0.0,0.3278,0.1003
Left Lateral Apex,0.0381,0.1715,0.1448,0.1321
Upper Left Lateral Apex,0.2006,0.2371,0.1008,0.2026
Primary Left Sinus,0.3496,0.0998,0.2026,0.2721
Primary Left Lobe Apex,0.3,0.3673,0.2721,0.1017
Primary Apex,0.5,0.5072,0.1986,0.1986
Primary Right Lobe Apex,0.7,0.3673,0.1017,0.2721
Primary Right Sinus,0.6504,0.0998,0.2721,0.2026
Upper Right Lateral Apex,0.7994,0.2371,0.2026,0.1008
Right Lateral Apex,0.9619,0.1715,0.1321,0.1449
Lower Right Lateral Apex,1.0,0.0,0.1002,0.3278
Shoulder Right Sinus,0.7413,-0.2013,0.3278,0.1045
Shoulder Right,0.7694,-0.302,0.1045,0.2591
Stem Upper Right,0.5117,-0.2754,0.2591,0.2142
Stem Lower Right 1,0.5190,-0.4896,0.2142,0.0
